#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Phocoena phocoena papillomavirus 4	706527	PRJNA168668	168668	dsDNA viruses, no RNA stage	Papillomaviridae	7.348	43.9	vertebrates	1	6	6	2011/04/03	2012/06/19	Complete Genome
Cotton leaf curl Multan alphasatellite	1048668	PRJNA169228	169228	Satellites	unclassified	1.376	40.8	plants	1	1	1	2012/06/21	2012/06/27	Complete Genome
Enterococcus phage BC611	1173135	PRJNA169229	169229	dsDNA viruses, no RNA stage	Siphoviridae	53.996	40.4	bacteria	1	88	87	2012/06/02	2013/02/05	Complete Genome
Clostridium phage phiCPV4	1162305	PRJNA169231	169231	dsDNA viruses, no RNA stage	Podoviridae	17.972	34.5	bacteria	1	28	28	2012/05/25	2012/06/27	Complete Genome
Clostridium phage phiZP2	1162306	PRJNA169232	169232	dsDNA viruses, no RNA stage	Podoviridae	18.078	34.5	bacteria	1	27	27	2012/05/25	2012/06/27	Complete Genome
Bacillus phage BtCS33	1194641	PRJNA169233	169233	dsDNA viruses, no RNA stage	Siphoviridae	41.992	35.2	bacteria	1	57	57	2012/06/10	2012/06/27	Complete Genome
French bean leaf curl virus-Kanpur	1200970	PRJNA169555	169555	ssDNA viruses	Geminiviridae	2.741	45.7	plants	1	7	7	2012/06/27	2013/04/04	Complete Genome
French bean leaf curl betasatellite-Kanpur	1200971	PRJNA169556	169556	Satellites	unclassified	1.379	43	plants	1	1	1	2012/06/27	2012/06/28	Complete Genome
Sweet potato virus G	46619	PRJNA169624	169624	ssRNA viruses	Potyviridae	10.798	41.6	plants	1	1	1	2012/06/18	2013/04/04	Complete Genome
MW polyomavirus	1203539	PRJNA170047	170047	dsDNA viruses, no RNA stage	Polyomaviridae	4.927	36.9	vertebrates	1	5	5	2012/07/03	2014/05/21	Complete Genome
Gooseberry vein banding associated virus	157270	PRJNA170172	170172	Retro-transcribing viruses	Caulimoviridae	7.659	50.1	plants	1	3	3	2012/07/01	2012/07/10	Complete Genome
SFTS virus HB29	992212	PRJNA170539	170539	ssRNA viruses	Bunyaviridae	11.49	48.8164	vertebrates, invertebrates, human	3	4	4	2011/03/09	2012/07/13	Complete Genome
Citrus chlorotic dwarf associated virus	1202142	PRJNA170854	170854	ssDNA viruses	Geminiviridae	3.64	44.2	plants	1	5	5	2012/07/15	2012/07/25	Complete Genome
Cucurbit chlorotic yellows virus	558690	PRJNA170929	170929	ssRNA viruses	Closteroviridae	16.648	36.6823	plants	2	11	11	2010/02/24	2013/07/03	Complete Genome
Potato virus H	1046402	PRJNA171010	171010	ssRNA viruses	Betaflexiviridae	8.41	48.9	plants	1	6	6	2012/07/18	2013/07/01	Complete Genome
Arracacha mottle virus	405558	PRJNA171011	171011	ssRNA viruses	Potyviridae	9.63	40.2	plants	1	1	1	2006/10/04	2012/07/20	Complete Genome
Enterobacteria phage phi92	948870	PRJEA62157	62157	dsDNA viruses, no RNA stage	Myoviridae	148.612	37.4	bacteria	1	309	250	2012/07/16	2016/01/15	Complete Genome
Staphylococcus phage SpaA1	1118063	PRJNA171956	171956	dsDNA viruses, no RNA stage	Siphoviridae	42.784	35.6	bacteria	1	63	63	2012/07/23	2012/08/05	Complete Genome
Salmonella phage vB_SemP_Emek	1168548	PRJNA171957	171957	dsDNA viruses, no RNA stage	Podoviridae	39.783	47.7	bacteria	1	70	70	2012/06/24	2012/08/05	Complete Genome
Burkholderia phage KL1	1132026	PRJNA171970	171970	dsDNA viruses, no RNA stage	Siphoviridae	42.832	54.6	bacteria	1	55	55	2012/07/17	2012/08/06	Complete Genome
Burkholderia phage AH2	1133022	PRJNA171971	171971	dsDNA viruses, no RNA stage	Siphoviridae	58.065	61.3	bacteria	1	78	78	2012/07/17	2012/08/06	Complete Genome
Pseudomonas phage MP42	1161903	PRJNA171972	171972	dsDNA viruses, no RNA stage	Siphoviridae	36.847	64.2	bacteria	1	53	53	2012/07/25	2012/08/06	Complete Genome
Weissella phage phiYS61	1161906	PRJNA171973	171973	dsDNA viruses, no RNA stage	Podoviridae	33.594	43.9	bacteria	1	48	48	2012/08/02	2012/10/01	Complete Genome
Leuconostoc phage Lmd1	1161930	PRJNA171974	171974	dsDNA viruses, no RNA stage	Siphoviridae	26.201	36.4	bacteria	1	40	40	2012/07/27	2012/08/06	Complete Genome
Persicivirga phage P12024S	1168478	PRJNA171975	171975	dsDNA viruses, no RNA stage	unclassified	35.7	35.5	bacteria	1	59	59	2012/06/24	2012/08/06	Complete Genome
Persicivirga phage P12024L	1168479	PRJNA171976	171976	dsDNA viruses, no RNA stage	unclassified	35.652	35.9	bacteria	1	58	58	2012/06/24	2012/08/06	Complete Genome
Salmonella phage vB_SosS_Oslo	1168549	PRJNA171977	171977	dsDNA viruses, no RNA stage	Siphoviridae	49.116	48.7	bacteria	1	81	79	2012/06/24	2012/08/06	Complete Genome
Croceibacter phage P2559S	1176422	PRJNA171978	171978	dsDNA viruses, no RNA stage	Siphoviridae	44.988	41.9	bacteria	1	68	68	2012/06/24	2012/08/06	Complete Genome
Marinomonas phage P12026	1176423	PRJNA171979	171979	dsDNA viruses, no RNA stage	unclassified	31.766	46.6	bacteria	1	54	54	2012/06/24	2012/08/06	Complete Genome
Celeribacter phage P12053L	1197951	PRJNA171980	171980	dsDNA viruses, no RNA stage	unclassified	38.889	46.1	bacteria	1	56	56	2012/06/24	2012/08/06	Complete Genome
Staphylococcus phage Ipla5	1197952	PRJNA171981	171981	dsDNA viruses, no RNA stage	Siphoviridae	43.581	34.7	bacteria	1	67	66	2012/07/24	2012/08/17	Complete Genome
Staphylococcus phage Ipla7	1197953	PRJNA171982	171982	dsDNA viruses, no RNA stage	Siphoviridae	42.123	34.8	bacteria	1	59	59	2012/07/24	2012/08/17	Complete Genome
Pseudomonas phage MP1412	1204517	PRJNA171983	171983	dsDNA viruses, no RNA stage	Siphoviridae	61.167	64.3	bacteria	1	77	77	2012/07/14	2012/08/13	Complete Genome
Amazon lily mild mottle virus	1195163	PRJNA172456	172456	ssRNA viruses	Bromoviridae	8.206	44.0455	plants	3	4	4	2012/07/31	2014/04/11	Complete Genome
Persimmon virus A	1211480	PRJNA172457	172457	ssRNA viruses	Rhabdoviridae	13.467	40.6	invertebrates, plants	1	6	6	2012/08/08	2013/07/17	Complete Genome
Turkey gallivirus	1214230	PRJNA172458	172458	ssRNA viruses	Picornaviridae	8.496	48.3	vertebrates	1	1	1	2012/08/01	2012/11/15	Complete Genome
Gyrovirus 4	1214955	PRJNA172459	172459	ssDNA viruses	Circoviridae	2.034	49.5	vertebrates	1	2	2	2012/08/01	2012/11/01	Complete Genome
Bat hepevirus	1216472	PRJNA172460	172460	ssRNA viruses	Hepeviridae	6.796	51.6	vertebrates, human	1	3	3	2012/08/05	2012/08/13	Complete Genome
Sibine fusca densovirus	1217821	PRJNA172461	172461	ssDNA viruses	Parvoviridae	5.012	37.8	invertebrates	1	3	3	2012/08/08	2012/08/13	Complete Genome
Grapevine Anatolian ringspot virus	223769	PRJNA172462	172462	ssRNA viruses	Secoviridae	11.895	47.9521	plants	2	2	2	2004/06/01	2012/08/13	Complete Genome
Burkholderia phage DC1	1136535	PRJNA173047	173047	dsDNA viruses, no RNA stage	Podoviridae	61.847	66.2	bacteria	1	74	73	2012/08/07	2012/08/20	Complete Genome
Sweet potato C6 virus	1307958	PRJNA173048	173048	ssRNA viruses	Betaflexiviridae	8.857	39.9	plants	1	5	5	2012/08/15	2012/08/20	Complete Genome
Papilio polyxenes densovirus	1221208	PRJNA173049	173049	ssDNA viruses	Parvoviridae	5.053	37.5	invertebrates	1	3	3	2012/08/15	2012/08/20	Complete Genome
Papaya lethal yellowing virus	685899	PRJNA173050	173050	ssRNA viruses	unclassified	4.145	46.8	plants	1	5	5	2012/08/14	2013/12/19	Complete Genome
Arabis mosaic virus small satellite RNA barley/CHE/1991	857288	PRJNA173051	173051	Satellites	unclassified	0.301	52.2	plants	1	-	-	2012/08/01	2012/08/20	Complete Genome
Cronobacter phage phiES15	1168280	PRJNA173212	173212	dsDNA viruses, no RNA stage	Siphoviridae	39.974	53.5	bacteria	1	52	52	2012/07/04	2012/08/21	Complete Genome
French bean severe leaf curl virus	1218727	PRJNA173213	173213	ssDNA viruses	Geminiviridae	2.771	40.9	plants	1	2	2	2012/08/13	2012/08/21	Complete Genome
Soybean chlorotic spot virus	1221206	PRJNA173351	173351	ssDNA viruses	Geminiviridae	5.208	41.8197	plants	2	6	6	2012/08/19	2015/10/20	Complete Genome
Grapevine virus F	1221437	PRJNA173352	173352	ssRNA viruses	Betaflexiviridae	7.551	46.6	plants	1	5	5	2012/08/21	2012/08/21	Complete Genome
CAS virus	1223561	PRJNA173353	173353	ssRNA viruses	Arenaviridae	10.18	39.5264	vertebrates, human	2	4	4	2012/08/21	2012/10/05	Complete Genome
Golden Gate virus	1223562	PRJNA173354	173354	ssRNA viruses	Arenaviridae	10.404	41.1391	vertebrates, human	2	4	4	2012/08/21	2012/10/05	Complete Genome
Chinese yam necrotic mosaic virus	128818	PRJNA173355	173355	ssRNA viruses	Potyviridae	8.224	42.2	plants	1	10	1	2012/08/17	2012/11/30	Complete Genome
Sathuperi virus	159141	PRJNA173356	173356	ssRNA viruses	Bunyaviridae	12.034	35.4595	vertebrates, invertebrates, human	3	4	4	2012/08/20	2013/11/06	Complete Genome
Aino virus	11582	PRJNA173357	173357	ssRNA viruses	Bunyaviridae	12.135	34.563	vertebrates, invertebrates, human	3	4	4	2012/08/20	2013/11/06	Complete Genome
Shamonda virus	159150	PRJNA173358	173358	ssRNA viruses	Bunyaviridae	12.104	36.0797	vertebrates, invertebrates, human	3	4	4	2012/08/20	2013/11/06	Complete Genome
Simbu virus	35306	PRJNA173359	173359	ssRNA viruses	Bunyaviridae	12.172	34.483	vertebrates, invertebrates, human	3	4	4	2012/08/20	2013/11/06	Complete Genome
Soybean Putnam virus	1221449	PRJNA173861	173861	Retro-transcribing viruses	Caulimoviridae	7.757	36.5	plants	1	6	6	2012/08/21	2012/08/28	Complete Genome
Bluegill picornavirus	1223302	PRJNA173862	173862	ssRNA viruses	unclassified	8.05	44	vertebrates	1	1	1	2012/08/22	2014/02/26	Complete Genome
Apocheima cinerarium nucleopolyhedrovirus	307461	PRJNA173863	173863	dsDNA viruses, no RNA stage	Baculoviridae	123.876	33.4	invertebrates	1	117	117	2010/06/01	2012/08/28	Complete Genome
Blueberry virus A	1206566	PRJNA173920	173920	ssRNA viruses	Closteroviridae	17.798	45.6	plants	1	10	10	2012/08/24	2013/04/02	Complete Genome
Paspalum striate mosaic virus	1072672	PRJNA174510	174510	ssDNA viruses	Geminiviridae	2.816	49.4	plants	1	4	4	2011/08/05	2012/09/10	Complete Genome
Macrobrachium rosenbergii Taihu virus	1027947	PRJNA174773	174773	ssRNA viruses	Dicistroviridae	10.303	40.4	invertebrates	1	2	2	2012/09/01	2012/09/10	Complete Genome
Crocuta crocuta papillomavirus 1	1104917	PRJNA174774	174774	dsDNA viruses, no RNA stage	Papillomaviridae	8.344	38.4	vertebrates	1	7	7	2012/09/01	2013/03/13	Complete Genome
Sporobolus striate mosaic virus 1	1302849	PRJNA174775	174775	ssDNA viruses	Geminiviridae	2.789	54.4	plants	1	4	4	2012/08/25	2012/11/01	Complete Genome
Sporobolus striate mosaic virus 2	1302850	PRJNA174776	174776	ssDNA viruses	Geminiviridae	2.716	50.2	plants	1	4	4	2012/08/25	2012/11/01	Complete Genome
Paspalum dilatatum striate mosaic virus	1196236	PRJNA174777	174777	ssDNA viruses	Geminiviridae	2.806	52	plants	1	4	4	2012/08/25	2012/11/01	Complete Genome
Digitaria ciliaris striate mosaic virus	1196237	PRJNA174778	174778	ssDNA viruses	Geminiviridae	2.816	52.8	plants	1	4	4	2012/08/25	2012/11/01	Complete Genome
Caladenia virus A	1198147	PRJNA174779	174779	ssRNA viruses	Potyviridae	9.847	42.8	plants	1	1	1	2012/09/05	2012/11/28	Complete Genome
Mesta yellow vein mosaic virus-associated alphasatellite	1225643	PRJNA174780	174780	Satellites	unclassified	1.358	40.4	plants	1	1	1	2012/09/04	2012/09/10	Complete Genome
Bhendi yellow vein mosaic virus-associated alphasatellite	1225644	PRJNA174781	174781	Satellites	unclassified	1.316	40.3	plants	1	1	1	2012/09/04	2012/09/10	Complete Genome
Porcine associated stool circular virus	1231387	PRJNA175586	175586	ssDNA viruses	unclassified	2.589	50.1	environment	1	2	2	2012/09/18	2013/01/28	Complete Genome
Tomato leaf curl Hajipur betasatellite	1231334	PRJNA175587	175587	Satellites	unclassified	1.362	39.1	plants	1	1	1	2012/09/17	2013/06/03	Complete Genome
Eilat virus	1231903	PRJNA175588	175588	ssRNA viruses	Togaviridae	11.634	53.5	vertebrates, invertebrates	1	3	3	2012/09/19	2015/02/10	Complete Genome
Dahlia mosaic virus	213888	PRJNA175589	175589	Retro-transcribing viruses	Caulimoviridae	7.916	37.7	plants	1	8	8	2012/09/19	2015/09/15	Complete Genome
Rhizosolenia setigera RNA virus 01	359987	PRJNA175590	175590	ssRNA viruses	unclassified	8.877	36.3	algae	1	2	2	2006/02/18	2012/09/20	Complete Genome
Ikoma lyssavirus	1167696	PRJNA175665	175665	ssRNA viruses	Rhabdoviridae	11.902	40.7	vertebrates, human	1	5	5	2012/08/30	2012/09/21	Complete Genome
Cassava mosaic Madagascar alphasatellite	1231298	PRJNA175666	175666	Satellites	unclassified	1.478	44.9	plants	1	1	1	2012/09/16	2013/08/10	Complete Genome
Murine astrovirus	1141625	PRJNA176429	176429	ssRNA viruses	Astroviridae	6.838	55.9	vertebrates	1	3	3	2012/10/02	2012/11/01	Complete Genome
Sauropus leaf curl disease associated DNA beta	1234171	PRJNA176433	176433	Satellites	unclassified	0.692	43.1	plants	1	-	-	2012/09/26	2012/10/02	Complete Genome
Culex originated Tymoviridae-like virus	1236047	PRJNA176434	176434	ssRNA viruses	Tymoviridae	6.471	54	plants	1	2	2	2012/10/02	2012/11/01	Complete Genome
Astrovirus VA2	683173	PRJNA176435	176435	ssRNA viruses	Astroviridae	6.531	43.7	vertebrates	1	3	3	2009/10/19	2012/10/02	Complete Genome
Ntaya virus	64292	PRJNA176549	176549	ssRNA viruses	Flaviviridae	10.943	48.3	vertebrates, invertebrates, human	1	1	1	2012/10/02	2013/12/04	Complete Genome
Apple green crinkle associated virus	1211388	PRJNA176615	176615	ssRNA viruses	Betaflexiviridae	9.266	42.7	plants	1	5	5	2012/09/27	2013/08/31	Complete Genome
Dalechampia chlorotic mosaic virus	1227356	PRJNA176616	176616	ssDNA viruses	Geminiviridae	5.214	43.8038	plants	2	7	7	2012/10/02	2015/10/20	Complete Genome
Datura leaf distortion virus	1227357	PRJNA176617	176617	ssDNA viruses	Geminiviridae	5.163	43.4632	plants	2	7	7	2012/10/02	2015/10/20	Complete Genome
Pestivirus strain Aydin/04-TR	1234809	PRJNA176618	176618	ssRNA viruses	Flaviviridae	12.292	45.8	vertebrates	1	1	1	2012/09/30	2012/10/04	Complete Genome
Bacillus phage BCP78	1126950	PRJNA177518	177518	dsDNA viruses, no RNA stage	Myoviridae	156.176	39.9	bacteria	1	245	227	2011/12/25	2012/11/01	Complete Genome
Bacillus phage BPS13	1136731	PRJNA177519	177519	dsDNA viruses, no RNA stage	Myoviridae	158.305	38.8	bacteria	1	268	268	2012/09/30	2012/11/01	Complete Genome
Bacillus phage B4	1141133	PRJNA177520	177520	dsDNA viruses, no RNA stage	Myoviridae	162.596	37.7	bacteria	1	277	277	2012/09/27	2013/10/21	Complete Genome
Salmonella phage SSU5	1177632	PRJNA177521	177521	dsDNA viruses, no RNA stage	Siphoviridae	103.299	51.1	bacteria	1	131	130	2012/09/16	2012/11/01	Complete Genome
Streptomyces phage phiHau3	1204524	PRJNA177522	177522	dsDNA viruses, no RNA stage	Siphoviridae	50.255	67.8	bacteria	1	73	72	2012/10/10	2012/11/01	Complete Genome
Streptomyces phage SV1	1204525	PRJNA177523	177523	dsDNA viruses, no RNA stage	Siphoviridae	37.612	72.7	bacteria	1	55	55	2012/10/10	2012/11/01	Complete Genome
Streptomyce phage TG1	1204526	PRJNA177524	177524	dsDNA viruses, no RNA stage	Siphoviridae	40.474	64.6	bacteria	1	55	54	2012/10/10	2012/11/01	Complete Genome
Pectobacterium phage My1	1204539	PRJNA177525	177525	dsDNA viruses, no RNA stage	Siphoviridae	122.024	40.6	bacteria	1	169	149	2012/09/25	2012/11/01	Complete Genome
Listeria phage P70	1225800	PRJNA177526	177526	dsDNA viruses, no RNA stage	Siphoviridae	67.17	36.5	bacteria	1	119	119	2012/09/22	2012/11/05	Complete Genome
Propionibacterium phage P9.1	1229782	PRJNA177529	177529	dsDNA viruses, no RNA stage	Siphoviridae	29.214	54.1	bacteria	1	45	45	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P14.4	1229784	PRJNA177530	177530	dsDNA viruses, no RNA stage	Siphoviridae	29.729	54.1	bacteria	1	47	47	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P101A	1229786	PRJNA177531	177531	dsDNA viruses, no RNA stage	Siphoviridae	29.574	54.1	bacteria	1	47	47	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P104A	1229787	PRJNA177532	177532	dsDNA viruses, no RNA stage	Siphoviridae	29.371	54	bacteria	1	45	45	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P105	1229788	PRJNA177533	177533	dsDNA viruses, no RNA stage	Siphoviridae	29.202	54.2	bacteria	1	45	45	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P100D	1229789	PRJNA177534	177534	dsDNA viruses, no RNA stage	Siphoviridae	29.506	53.8	bacteria	1	47	47	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P100_A	1229790	PRJNA177535	177535	dsDNA viruses, no RNA stage	Siphoviridae	29.505	53.8	bacteria	1	45	45	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P100_1	1229791	PRJNA177536	177536	dsDNA viruses, no RNA stage	Siphoviridae	29.612	54.1	bacteria	1	47	47	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage P1.1	1229792	PRJNA177537	177537	dsDNA viruses, no RNA stage	Siphoviridae	29.348	54.4	bacteria	1	45	45	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage ATCC29399B_T	1229793	PRJNA177538	177538	dsDNA viruses, no RNA stage	Siphoviridae	29.516	54	bacteria	1	46	46	2012/10/11	2012/11/01	Complete Genome
Propionibacterium phage ATCC29399B_C	1229794	PRJNA177539	177539	dsDNA viruses, no RNA stage	Siphoviridae	29.516	54	bacteria	1	46	46	2012/10/11	2012/11/01	Complete Genome
Providencia phage Redjac	1235559	PRJNA177540	177540	dsDNA viruses, no RNA stage	unclassified	58.104	49.5	bacteria	1	41	41	2012/10/10	2013/04/26	Complete Genome
Enterobacteria phage NJ01	1237159	PRJNA177541	177541	dsDNA viruses, no RNA stage	Podoviridae	77.448	42	bacteria	1	109	109	2012/10/10	2012/11/21	Complete Genome
Enterobacteria phage HX01	1237364	PRJNA177542	177542	dsDNA viruses, no RNA stage	Myoviridae	169.158	37.6	bacteria	1	62	62	2012/10/06	2012/11/21	Complete Genome
Escherichia phage P13374	1150869	PRJNA177543	177543	dsDNA viruses, no RNA stage	Podoviridae	60.894	50.2	bacteria	1	79	79	2012/09/17	2012/11/01	Complete Genome
Iranian johnsongrass mosaic virus	204478	PRJNA177544	177544	ssRNA viruses	Potyviridae	9.544	40.8	plants	1	1	1	2012/10/09	2012/11/01	Complete Genome
Campylobacter phage CP30A	1229752	PRJNA177545	177545	dsDNA viruses, no RNA stage	Myoviridae	133.572	26.1	bacteria	1	162	162	2012/09/15	2015/08/21	Complete Genome
Dragonfly-associated microphage 1	1234888	PRJNA177547	177547	ssDNA viruses	unclassified	4.472	58.6	invertebrates	1	5	5	2012/10/01	2012/11/21	Complete Genome
Pseudomonas phage UFV-P2	1235661	PRJNA177548	177548	dsDNA viruses, no RNA stage	Podoviridae	45.517	51.5	bacteria	1	75	75	2012/10/05	2013/05/10	Complete Genome
Horseradish latent virus	264076	PRJNA177549	177549	Retro-transcribing viruses	Caulimoviridae	7.954	41	plants	1	8	8	2012/10/03	2012/11/01	Complete Genome
Bacillus phage Bastille	57477	PRJNA177550	177550	dsDNA viruses, no RNA stage	Myoviridae	153.962	38.1	bacteria	1	280	273	2012/10/04	2013/02/15	Complete Genome
Tomato leaf curl Yemen betasatellite	1176156	PRJNA177643	177643	Satellites	unclassified	1.352	39	plants	1	1	1	2012/05/31	2012/11/01	Complete Genome
Mungbean yellow mosaic India virus associated betasatellite [India: Faizabad: Cow Pea:2012]	1238162	PRJNA177773	177773	Satellites	unclassified	1.36	45.4	plants	1	1	1	2012/10/16	2012/11/01	Complete Genome
Pokeweed mosaic virus	1220025	PRJNA177901	177901	ssRNA viruses	Potyviridae	9.512	43.4	plants	1	1	1	2012/08/14	2013/10/30	Complete Genome
Rousettus bat coronavirus HKU10	1241933	PRJNA177902	177902	ssRNA viruses	Coronaviridae	28.494	38.5	vertebrates	1	9	9	2012/10/17	2013/12/13	Complete Genome
Epinotia aporema granulovirus	166056	PRJNA177904	177904	dsDNA viruses, no RNA stage	Baculoviridae	119.082	41.5	invertebrates	1	132	132	2012/10/17	2012/11/01	Complete Genome
Abalone herpesvirus Victoria/AUS/2009	1241371	PRJNA177933	177933	dsDNA viruses, no RNA stage	unclassified	211.518	46.8	invertebrates	1	118	118	2012/10/17	2013/09/11	Complete Genome
Tobacco leaf chlorosis betasatellite	1213187	PRJNA178075	178075	Satellites	unclassified	1.345	39.4	plants	1	1	1	2012/07/30	2013/01/28	Complete Genome
Peristrophe mosaic virus	1188812	PRJNA178459	178459	ssDNA viruses	Geminiviridae	2.598	35.1	plants	1	2	2	2012/10/26	2014/09/29	Complete Genome
Rubus canadensis virus 1	1243178	PRJNA178460	178460	ssRNA viruses	Betaflexiviridae	8.328	40.6	plants	1	5	5	2012/10/24	2013/01/28	Complete Genome
Astrovirus VA4	1247113	PRJNA178562	178562	ssRNA viruses	Astroviridae	6.518	43	vertebrates	1	3	3	2012/10/31	2013/01/16	Complete Genome
Astrovirus MLB3	1247114	PRJNA178563	178563	ssRNA viruses	Astroviridae	6.124	40	vertebrates	1	3	3	2012/10/31	2013/01/16	Complete Genome
Astrovirus VA3	683174	PRJNA178564	178564	ssRNA viruses	Astroviridae	6.581	41.8	vertebrates	1	3	3	2012/10/31	2013/01/16	Complete Genome
Rose yellow mosaic virus	1048434	PRJNA178589	178589	ssRNA viruses	Potyviridae	9.508	43.5	plants	1	1	1	2011/06/27	2012/11/01	Complete Genome
Diuris virus A	1247115	PRJNA178591	178591	ssRNA viruses	Betaflexiviridae	6.956	36.9	plants	1	2	2	2012/10/30	2013/03/08	Complete Genome
Diuris virus B	1247116	PRJNA178592	178592	ssRNA viruses	Betaflexiviridae	7.001	37.3	plants	1	2	2	2012/10/30	2013/03/08	Complete Genome
Jatropha mosaic Nigerian virus	1213406	PRJNA178634	178634	ssDNA viruses	Geminiviridae	2.781	45.8	plants	1	6	6	2012/07/29	2013/01/28	Complete Genome
Blechum interveinal chlorosis virus	1246650	PRJNA178635	178635	ssDNA viruses	Geminiviridae	5.285	38.0529	plants	2	7	7	2012/10/30	2012/11/01	Complete Genome
Streptomyces phage R4	10732	PRJNA179407	179407	dsDNA viruses, no RNA stage	Siphoviridae	51.071	67	bacteria	1	87	86	2012/10/10	2012/11/13	Complete Genome
Salmonella phage SPN19	1141134	PRJNA179408	179408	dsDNA viruses, no RNA stage	Siphoviridae	59.203	56.5	bacteria	1	72	72	2012/10/31	2012/11/13	Complete Genome
Cronobacter phage vB_CsaM_GAP31	1141135	PRJNA179409	179409	dsDNA viruses, no RNA stage	Myoviridae	147.94	46.3	bacteria	1	295	269	2012/10/19	2012/11/21	Complete Genome
Cronobacter phage vB_CsaM_GAP32	1141136	PRJNA179410	179410	dsDNA viruses, no RNA stage	Myoviridae	358.663	35.6	bacteria	1	571	545	2012/10/19	2014/07/09	Complete Genome
Cronobacter phage vB_CsaP_GAP52	1141137	PRJNA179411	179411	dsDNA viruses, no RNA stage	Podoviridae	76.631	44.2	bacteria	1	117	115	2012/10/19	2012/11/13	Complete Genome
Cronobacter phage vB_CsaM_GAP161	1141138	PRJNA179412	179412	dsDNA viruses, no RNA stage	Myoviridae	178.193	44.5	bacteria	1	277	275	2012/10/19	2012/11/21	Complete Genome
Enterobacteria phage vB_EcoP_ACG-C91	1141139	PRJNA179413	179413	dsDNA viruses, no RNA stage	Podoviridae	43.731	45.3	bacteria	1	56	56	2012/11/01	2012/11/13	Complete Genome
Enterobacteria phage vB_EcoS_ACG-M12	1141140	PRJNA179414	179414	dsDNA viruses, no RNA stage	Siphoviridae	46.054	43.5	bacteria	1	79	78	2012/11/01	2012/11/13	Complete Genome
Enterobacteria phage vB_EcoM_ACG-C40	1141141	PRJNA179415	179415	dsDNA viruses, no RNA stage	Myoviridae	167.396	35.2	bacteria	1	292	282	2012/11/01	2012/11/13	Complete Genome
Clostridium phage phiMMP02	1204534	PRJNA179416	179416	dsDNA viruses, no RNA stage	Myoviridae	48.396	29.6	bacteria	1	76	76	2012/09/27	2012/11/13	Complete Genome
Clostridium phage phiMMP04	1204535	PRJNA179417	179417	dsDNA viruses, no RNA stage	Myoviridae	31.674	30	bacteria	1	51	51	2012/09/27	2012/11/13	Complete Genome
Caulobacter phage phiCbK	1204537	PRJNA179418	179418	dsDNA viruses, no RNA stage	Siphoviridae	215.71	66.2	bacteria	1	364	338	2012/10/16	2014/07/08	Complete Genome
Caulobacter phage CcrColossus	1211640	PRJNA179419	179419	dsDNA viruses, no RNA stage	Siphoviridae	279.967	62.2	bacteria	1	476	448	2012/10/16	2014/07/08	Complete Genome
Caulobacter phage karma	1211641	PRJNA179420	179420	dsDNA viruses, no RNA stage	Siphoviridae	221.828	66.2	bacteria	1	379	353	2012/10/16	2014/07/08	Complete Genome
Caulobacter phage magneto	1211642	PRJNA179421	179421	dsDNA viruses, no RNA stage	Siphoviridae	218.929	66.1	bacteria	1	374	347	2012/10/16	2014/07/08	Complete Genome
Caulobacter phage rogue	1211643	PRJNA179422	179422	dsDNA viruses, no RNA stage	Siphoviridae	223.72	66.1	bacteria	1	373	350	2012/10/16	2014/07/08	Complete Genome
Caulobacter phage swift	1211644	PRJNA179423	179423	dsDNA viruses, no RNA stage	Siphoviridae	219.216	66.1	bacteria	1	370	343	2012/10/16	2014/07/08	Complete Genome
Streptococcus phage phiNJ2	1239381	PRJNA179424	179424	dsDNA viruses, no RNA stage	Siphoviridae	37.282	39.4	bacteria	1	55	55	2012/10/16	2013/07/10	Complete Genome
Enterobacter phage IME11	1239384	PRJNA179425	179425	dsDNA viruses, no RNA stage	Podoviridae	72.57	43.1	bacteria	1	91	91	2012/10/23	2012/11/21	Complete Genome
Enterobacteria phage JL1	1245890	PRJNA179426	179426	dsDNA viruses, no RNA stage	Siphoviridae	43.457	54.8	bacteria	1	60	60	2012/10/30	2013/11/01	Complete Genome
Blue squill virus A	1072517	PRJNA179427	179427	ssRNA viruses	Potyviridae	9.842	43.2	plants	1	1	1	2012/11/04	2012/11/13	Complete Genome
Ornithogalum mosaic virus	12204	PRJNA179428	179428	ssRNA viruses	Potyviridae	9.445	41.6	plants	1	1	1	2012/11/04	2012/11/13	Complete Genome
Stenotrophomonas phage IME15	1239382	PRJNA179429	179429	dsDNA viruses, no RNA stage	Podoviridae	38.513	53.7	bacteria	1	45	45	2012/10/30	2012/11/21	Complete Genome
