#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Helicobacter suis	2	Helicobacter suis HS1	NZ_ADGY00000000	ADGY00000000			Default			
Helicobacter winghamensis	1	Helicobacter winghamensis ATCC BAA-430	NZ_ACDO00000000	ACDO00000000			Default			
Heliobacterium modesticaldum	1	Heliobacterium modesticaldum Ice1	NC_010337	CP000930			COM/PRT		18441057	
Henriciella marina	1	Henriciella marina DSM 19595	NZ_AQXT00000000	AQXT00000000			Default			
Herbaspirillum frisingense	1	Herbaspirillum frisingense GSF30	NZ_AEEC00000000	AEEC00000000			Default			
	0	Herbaspirillum huttiense subsp. putei IAM 15032					Default			
Herbaspirillum lusitanum	1	Herbaspirillum lusitanum P6-12	NZ_AJHH00000000	AJHH00000000			Default			
Herbaspirillum seropedicae	3	Herbaspirillum seropedicae SmR1	NC_014323	CP002039			COM			
Herbaspirillum	8	Herbaspirillum sp. YR522	NZ_AKJA00000000	AKJA00000000			Default			
Herminiimonas arsenicoxydans	1	Herminiimonas arsenicoxydans	NC_009138	CU207211			COM		17432936	
Herpetosiphon aurantiacus	1	Herpetosiphon aurantiacus DSM 785	NC_009972	CP000875	NC_009973 ... (2)	CP000876 ... (2)	COM		22675585	
Hippea alviniae	1	Hippea alviniae EP5-r	NZ_ATUV00000000	ATUV00000000			Default			
Hippea maritima	1	Hippea maritima DSM 10411	NC_015318	CP002606			COM		21886857	
Hirschia baltica	1	Hirschia baltica ATCC 49814	NC_012982	CP001678	NC_012983	CP001679	COM		22675580	
Hirschia maritima	1	Hirschia maritima DSM 19733	NZ_ARKC00000000	ARKC00000000			Default			
Hoeflea phototrophica	1	Hoeflea phototrophica DFL-43	NZ_ABIA00000000	ABIA00000000			Default			
Hoeflea	1	Hoeflea sp. 108	NZ_ARCZ00000000	ARCZ00000000			Default			
Holdemania filiformis	1	Holdemania filiformis DSM 12042	NZ_ACCF00000000	ACCF00000000			Default			
	0	Holdemania massiliensis AP2					Default			
	0	Holophaga foetida DSM 6591		AGSB00000000			Default			
Holospora obtusa	1	Holospora obtusa F1	NZ_AWTR00000000	AWTR00000000			Default			
Holospora undulata	1	Holospora undulata HU1	NZ_ARPM00000000	ARPM00000000			Default			
Humibacter albus	1	Humibacter albus DSM 18994	NZ_ATXT00000000	ATXT00000000			Default			
Hydrocarboniphaga effusa	1	Hydrocarboniphaga effusa AP103	NZ_AKGD00000000	AKGD00000000			Default			
Hydrogenivirga	1	Hydrogenivirga sp. 128-5-R1-1	NZ_ABHJ00000000	ABHJ00000000			Default			
Hydrogenobacter thermophilus	2	Hydrogenobacter thermophilus TK-6	NC_013799	AP011112			COM		20348262	
Hydrogenobaculum	3	Hydrogenobaculum sp. Y04AAS1	NC_011126	CP001130			COM			
Hydrogenophaga	2	Hydrogenophaga sp. PBC	NZ_AJWL00000000	AJWL00000000			Default			
Hylemonella gracilis	1	Hylemonella gracilis ATCC 19624	NZ_AEGR00000000	AEGR00000000			Default			
Hymenobacter aerophilus	1	Hymenobacter aerophilus DSM 13606	NZ_ARNJ00000000	ARNJ00000000			Default			
Hymenobacter norwichensis	1	Hymenobacter norwichensis DSM 15439	NZ_ATVL00000000	ATVL00000000			Default			
Hyperthermus butylicus	1	Hyperthermus butylicus DSM 5456	NC_008818	CP000493			COM		17350933	
Hyphomicrobium denitrificans	2	Hyphomicrobium denitrificans ATCC 51888	NC_014313	CP002083			COM			
Hyphomicrobium nitrativorans	1	Hyphomicrobium nitrativorans NL23	NC_022997	CP006912			Default		24435868	
Hyphomicrobium	2	Hyphomicrobium sp.	NC_015717	FQ859181			COM			
Hyphomicrobium zavarzinii	1	Hyphomicrobium zavarzinii ATCC 27496	NZ_ARTG00000000	ARTG00000000			Default			
Hyphomonas neptunium	1	Hyphomonas neptunium ATCC 15444	NC_008358	CP000158			COM		16980487	
Ideonella sp.	1	Ideonella sp. B508-1	NZ_BADL00000000	BADL00000000			Default			
Idiomarina baltica	1	Idiomarina baltica OS145	NZ_AAMX00000000	AAMX00000000			Default			
Idiomarina loihiensis	2	Idiomarina loihiensis L2TR	NC_006512	AE017340			COM		15596722	
Idiomarina	2	Idiomarina sp. A28L	NZ_AFPO00000000	AFPO00000000			Default			
Idiomarina xiamenensis	1	Idiomarina xiamenensis 10-D-4	NZ_AMRG00000000	AMRG00000000			Default			
Ignavibacterium album	1	Ignavibacterium album JCM 16511	NC_017464	CP003418			Default		22661972	
Ignicoccus hospitalis	1	Ignicoccus hospitalis KIN4/I	NC_009776	CP000816			COM		19000309	
Ignisphaera aggregans	1	Ignisphaera aggregans DSM 17230	NC_014471	CP002098			COM		21304693	
Ilumatobacter coccineus	1	Ilumatobacter coccineus	NC_020520	AP012057			Default		23524358	
	0	Ilumatobacter nonamiensis YM16-303					Default			
Ilyobacter polytropus	1	Ilyobacter polytropus DSM 2926	NC_014632	CP002281	NC_014633 ... (2)	CP002282 ... (2)	COM		21304735	
Imtechella halotolerans	1	Imtechella halotolerans K1	NZ_AJJU00000000	AJJU00000000			Default			
Indibacter alkaliphilus	1	Indibacter alkaliphilus LW1	NZ_ALWO00000000	ALWO00000000			Default			
Intrasporangium calvum	1	Intrasporangium calvum DSM 43043	NC_014830	CP002343			COM		21304734	
Isoptericola variabilis	1	Isoptericola variabilis 225	NC_015588	CP002810			COM			
Isosphaera pallida	1	Isosphaera pallida ATCC 43644	NC_014962	CP002353	NC_014957	CP002354	COM		21475588	
Janibacter hoylei	1	Janibacter hoylei PVAS-1	NZ_ALWX00000000	ALWX00000000			Default			
Janibacter	1	Janibacter sp. HTCC2649	NZ_AAMN00000000	AAMN00000000			Default			
Jannaschia	1	Jannaschia sp. CCS1	NC_007802	CP000264	NC_007801	CP000265	COM		17526795	
Janthinobacterium	4	Janthinobacterium sp. Marseille	NC_009659	CP000269			COM		17722982	
Johnsonella ignava	1	Johnsonella ignava ATCC 51276	NZ_ACZL00000000	ACZL00000000			Default			
Jonesia denitrificans	1	Jonesia denitrificans DSM 20603	NC_013174	CP001706			COM		21304666	
Jonquetella anthropi	2	Jonquetella anthropi E3_33 E1	NZ_ACOO00000000	ACOO00000000			Default			
Jonquetella	1	Jonquetella sp. BV3C21	NZ_AWWC00000000	AWWC00000000			Default			
Joostella marina	1	Joostella marina DSM 19592	NZ_AJUG00000000	AJUG00000000			Default			
Kaistia granuli	1	Kaistia granuli DSM 23481	NZ_AQYH00000000	AQYH00000000			Default			
Kangiella aquimarina	1	Kangiella aquimarina DSM 16071	NZ_ARFE00000000	ARFE00000000			Default			
Kangiella koreensis	1	Kangiella koreensis DSM 16069	NC_013166	CP001707			COM		21304661	
Ketogulonicigenium vulgare	2	Ketogulonicigenium vulgare WSH-001	NC_017384	CP002018	NC_017385 ... (2)	CP002019 ... (2)	FGS/MOD	This is the first Ketogulonigenium vulgarum genome. Ketogulonigenium vulgarum WSH-001 is an industrial organism commonly used in the vitamin C industry.	21994934	
Ketogulonicigenium vulgare	2	Ketogulonicigenium vulgare Y25	NC_014625	CP002224	NC_014621 ... (2)	CP002225 ... (2)	COM		21037005	
Kiloniella laminariae	1	Kiloniella laminariae DSM 19542	NZ_AREZ00000000	AREZ00000000			Default			
Kineococcus radiotolerans	1	Kineococcus radiotolerans SRS30216 = ATCC BAA-149	NC_009664	CP000750	NC_009660 ... (2)	CP000751 ... (2)	PRT/COM			
Kineosphaera limosa	1	Kineosphaera limosa NBRC 100340	NZ_BAHD00000000	BAHD00000000			Default			
Kingella denitrificans	1	Kingella denitrificans ATCC 33394	NZ_AEWV00000000	AEWV00000000			Default			
Kingella kingae	44	Kingella kingae ATCC 23330	NZ_AFHS00000000	AFHS00000000			Default			
Kingella oralis	1	Kingella oralis ATCC 51147	NZ_ACJW00000000	ACJW00000000			Default			
Kitasatospora setae	1	Kitasatospora setae KM-6054	NC_016109	AP010968			COM		21059706	
	0	Klebsiella cf. planticola B43					Default			
Klebsiella oxytoca	22	Klebsiella oxytoca KCTC 1686	NC_016612	CP003218			COM		22493189	
Klebsiella pneumoniae	264	Klebsiella pneumoniae subsp. pneumoniae HS11286	NC_016845	CP003200	NC_016838 ... (6)	CP003223 ... (6)	CLI	Klebsiella pneumoniae subsp. pneumoniae HS11286 is a multidrug-resistant strain that was originally isolated from the sputum specimen of patient in China. 	22408243	
Klebsiella pneumoniae	264	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	NC_009648	CP000647	NC_009649 ... (5)	CP000648 ... (5)	COM			
	0	Klebsiella sp. KCL-2					Default			
Klebsiella variicola	1	Klebsiella variicola At-22	NC_013850	CP001891			COM		19965433	
Kocuria atrinae	1	Kocuria atrinae C3-8	NZ_AJXN00000000	AJXN00000000			Default			
Kocuria palustris	1	Kocuria palustris PEL	NZ_ANHZ00000000	ANHZ00000000			Default			
Kocuria rhizophila	2	Kocuria rhizophila DC2201	NC_010617	AP009152			COM		18408034	
Kocuria sp.	2	Kocuria sp. UCD-OTCP	NZ_AOSQ00000000	AOSQ00000000			Default			
Kordia algicida	1	Kordia algicida OT-1	NZ_ABIB00000000	ABIB00000000			Default			
Kordiimonas gwangyangensis	1	Kordiimonas gwangyangensis DSM 19435	NZ_AQXF00000000	AQXF00000000			Default			
Kosmotoga olearia	1	Kosmotoga olearia TBF 19.5.1	NC_012785	CP001634			COM		21914881	
Kribbella catacumbae	1	Kribbella catacumbae DSM 19601	NZ_AQUZ00000000	AQUZ00000000			Default			
Kribbella flavida	1	Kribbella flavida DSM 17836	NC_013729	CP001736			COM		21304701	
Krokinobacter	1	Krokinobacter sp. 4H-3-7-5	NC_015496	CP002528			COM		21725025	
Ktedonobacter racemifer	1	Ktedonobacter racemifer DSM 44963	NZ_ADVG00000000	ADVG00000000			Default			
Kurthia	3	Kurthia massiliensis	NZ_CAEU00000000	CAEU00000000			Default			
Kushneria aurantia	1	Kushneria aurantia DSM 21353	NZ_ARNK00000000	ARNK00000000			Default			
Kyrpidia tusciae	1	Kyrpidia tusciae DSM 2912	NC_014098	CP002017			COM		22180816	
Kytococcus sedentarius	1	Kytococcus sedentarius DSM 20547	NC_013169	CP001686			COM		21304632	
Labrenzia aggregata	1	Labrenzia aggregata IAM 12614	NZ_AAUW00000000	AAUW00000000			Default			
Labrenzia alexandrii	1	Labrenzia alexandrii DFL-11	NZ_ACCU00000000	ACCU00000000			Default			
Lachnoanaerobaculum saburreum	2	Lachnoanaerobaculum saburreum DSM 3986	NZ_AEPW00000000	AEPW00000000			Default			
Lachnobacterium bovis	1	Lachnobacterium bovis NK4B19	NZ_ATWB00000000	ATWB00000000			Default			
Lachnospiraceae bacterium 1_1_57FAA	1	Lachnospiraceae bacterium 1_1_57FAA	NZ_ACTM00000000	ACTM00000000			Default			
Lachnospiraceae bacterium 1_4_56FAA	1	Lachnospiraceae bacterium 1_4_56FAA	NZ_ACTN00000000	ACTN00000000			Default			
Lachnospiraceae bacterium 2_1_46FAA	1	Lachnospiraceae bacterium 2_1_46FAA	NZ_ADLB00000000	ADLB00000000			Default			
Lachnospiraceae bacterium 2_1_58FAA	1	Lachnospiraceae bacterium 2_1_58FAA	NZ_ACTO00000000	ACTO00000000			Default			
Lachnospiraceae bacterium 3_1_46FAA	1	Lachnospiraceae bacterium 3_1_46FAA	NZ_ACWP00000000	ACWP00000000			Default			
Lachnospiraceae bacterium 3_1_57FAA_CT1	1	Lachnospiraceae bacterium 3_1_57FAA_CT1	NZ_ACTP00000000	ACTP00000000			Default			
Lachnospiraceae bacterium 4_1_37FAA	1	Lachnospiraceae bacterium 4_1_37FAA	NZ_ADCR00000000	ADCR00000000			Default			
Lachnospiraceae bacterium 5_1_57FAA	1	Lachnospiraceae bacterium 5_1_57FAA	NZ_ACTR00000000	ACTR00000000			Default			
Lachnospiraceae bacterium 5_1_63FAA	1	Lachnospiraceae bacterium 5_1_63FAA	NZ_ACTS00000000	ACTS00000000			Default			
Lachnospiraceae bacterium 6_1_63FAA	1	Lachnospiraceae bacterium 6_1_63FAA	NZ_ACTV00000000	ACTV00000000			Default			
Lachnospiraceae bacterium 7_1_58FAA	1	Lachnospiraceae bacterium 7_1_58FAA	NZ_ACTW00000000	ACTW00000000			Default			
Lachnospiraceae bacterium 8_1_57FAA	1	Lachnospiraceae bacterium 8_1_57FAA	NZ_ACWQ00000000	ACWQ00000000			Default			
Lachnospiraceae bacterium 9_1_43BFAA	1	Lachnospiraceae bacterium 9_1_43BFAA	NZ_ACTX00000000	ACTX00000000			Default			
Lachnospiraceae bacterium oral taxon 082	1	Lachnospiraceae bacterium oral taxon 082 str. F0431	NZ_AGRL00000000	AGRL00000000			Default			
Lachnospiraceae oral taxon 107	1	Lachnospiraceae oral taxon 107 str. F0167	NZ_ADDS00000000	ADDS00000000			Default			
Lacinutrix	1	Lacinutrix sp. 5H-3-7-4	NC_015638	CP002825			COM		21725025	
	0	Lactobacillus acidipiscis					Default			
Lactobacillus acidophilus	11	Lactobacillus acidophilus NCFM	NC_006814	CP000033			MOD	Lactobacillus acidophilus NCFM is widely used in industrial production of formula, yogurt, and fluid milk.	15671160	
Lactobacillus amylolyticus	1	Lactobacillus amylolyticus DSM 11664	NZ_ADNY00000000	ADNY00000000			Default			
Lactobacillus amylovorus	2	Lactobacillus amylovorus GRL 1112	NC_014724	CP002338	NC_015319 ... (2)	CP002612 ... (2)	COM		21131492	
Lactobacillus animalis	1	Lactobacillus animalis KCTC 3501 = DSM 20602	NZ_AEOF00000000	AEOF00000000			Default			
Lactobacillus antri	1	Lactobacillus antri DSM 16041	NZ_ACLL00000000	ACLL00000000			Default			
Lactobacillus brevis	6	Lactobacillus brevis ATCC 367	NC_008497	CP000416	NC_008498 ... (2)	CP000417 ... (2)	COM		17030793	
Lactobacillus buchneri	3	Lactobacillus buchneri NRRL B-30929	NC_015428	CP002652	NC_015420 ... (3)	CP002653 ... (3)	COM		21622751	
Lactobacillus casei	25	Lactobacillus casei ATCC 334	NC_008526	CP000423	NC_008502	CP000424	COM		17030793	
Lactobacillus coleohominis	2	Lactobacillus coleohominis 101-4-CHN	NZ_ACOH00000000	ACOH00000000			Default			
Lactobacillus coryniformis	3	Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001	NZ_AELK00000000	AELK00000000			Default			
Lactobacillus crispatus	24	Lactobacillus crispatus ST1	NC_014106	FN692037			COM		20435723	
	0	Lactobacillus curvatus					Default			
Lactobacillus delbrueckii	10	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	NC_008054	CR954253			COM		16754859	
Lactobacillus equi	1	Lactobacillus equi DPC 6820					Default			
Lactobacillus equicursoris	1	Lactobacillus equicursoris CIP 110162	NZ_CAMA00000000	CAMA00000000			Default			
	0	Lactobacillus farciminis					Default			
Lactobacillus fermentum	10	Lactobacillus fermentum IFO 3956	NC_010610	AP008937			COM		18487258	
Lactobacillus florum	2	Lactobacillus florum 2F	NZ_ALXF00000000	ALXF00000000			Default			
Lactobacillus fructivorans	1	Lactobacillus fructivorans KCTC 3543 = DSM 20203	NZ_AEQY00000000	AEQY00000000			Default			
Lactobacillus gasseri	18	Lactobacillus gasseri ATCC 33323	NC_008530	CP000413			COM		17030793	
Lactobacillus gastricus	1	Lactobacillus gastricus PS3	NZ_AICN00000000	AICN00000000			Default			
Lactobacillus gigeriorum	1	Lactobacillus gigeriorum CRBIP 24.85	NZ_CAKC00000000	CAKC00000000			Default			
Lactobacillus helveticus	12	Lactobacillus helveticus DPC 4571	NC_010080	CP000517			COM		17993529	
Lactobacillus hilgardii	1	Lactobacillus hilgardii ATCC 8290	NZ_ACGP00000000	ACGP00000000			Default			
Lactobacillus hominis	1	Lactobacillus hominis CRBIP 24.179	NZ_CAKE00000000	CAKE00000000			Default			
Lactobacillus iners	16	Lactobacillus iners AB-1	NZ_ADHG00000000	ADHG00000000			Default			
	0	Lactobacillus ingluviei str. Autruche 4					Default			
Lactobacillus jensenii	12	Lactobacillus jensenii 115-3-CHN	NZ_ACQN00000000	ACQN00000000			Default			
Lactobacillus johnsonii	7	Lactobacillus johnsonii NCC 533	NC_005362	AE017198			COM		14983040,15006820	
Lactobacillus kefiranofaciens	1	Lactobacillus kefiranofaciens ZW3	NC_015602	CP002764	NC_015598 ... (2)	CP002765 ... (2)	COM		21705607	
Lactobacillus kisonensis	1	Lactobacillus kisonensis F0435	NZ_AGRJ00000000	AGRJ00000000			Default			
Lactobacillus malefermentans	1	Lactobacillus malefermentans KCTC 3548	NZ_BACN00000000	BACN00000000			Default			
Lactobacillus mali	2	Lactobacillus mali KCTC 3596 = DSM 20444	NZ_BACP00000000	BACP00000000			Default			
Lactobacillus mucosae	1	Lactobacillus mucosae LM1	NZ_AHIT00000000	AHIT00000000			Default			
Lactobacillus murinus	1	Lactobacillus murinus ASF361	NZ_AQFS00000000	AQFS00000000			Default			
Lactobacillus oris	2	Lactobacillus oris PB013-T2-3	NZ_AEKL00000000	AEKL00000000			Default			
Lactobacillus otakiensis	1	Lactobacillus otakiensis JCM 15040	NZ_BASH00000000	BASH00000000			Default			
Lactobacillus parabrevis	1	Lactobacillus parabrevis ATCC 53295	NZ_ARTH00000000	ARTH00000000			Default			
	0	Lactobacillus paracasei					Default			
Lactobacillus parafarraginis	1	Lactobacillus parafarraginis F0439	NZ_AGEY00000000	AGEY00000000			Default			
Lactobacillus pasteurii	1	Lactobacillus pasteurii CRBIP 24.76	NZ_CAKD00000000	CAKD00000000			Default			
	0	Lactobacillus pentosus					Default			
Lactobacillus plantarum	17	Lactobacillus plantarum WCFS1	NC_004567	AL935263	NC_006375 ... (3)	CR377164 ... (3)	FGS/UPR	This is the first Lactobacillus plantarum genome. Lactobacillus plantarum WCFS1 has a slightly larger genome than other sequenced strains. It has a reference proteome in UniProtKB database.	12566566,22156394	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Lactobacillus pobuzihii	1	Lactobacillus pobuzihii E100301	NZ_APCP00000000	APCP00000000			Default			
	0	Lactobacillus rennini			NC_019233	FR714836	Default			
Lactobacillus reuteri	12	Lactobacillus reuteri DSM 20016	NC_009513	CP000705			COM			
Lactobacillus rhamnosus	21	Lactobacillus rhamnosus GG	NC_013198	FM179322			COM		19805152	
Lactobacillus rossiae	2	Lactobacillus rossiae DSM 15814	NZ_AKZK00000000	AKZK00000000			Default			
Lactobacillus ruminis	4	Lactobacillus ruminis ATCC 27782	NC_015975	CP003032			COM		21995554	
Lactobacillus saerimneri	2	Lactobacillus saerimneri 30a	NZ_ANAG00000000	ANAG00000000			Default			
Lactobacillus sakei	2	Lactobacillus sakei subsp. sakei 23K	NC_007576	CR936503			COM			
Lactobacillus salivarius	8	Lactobacillus salivarius UCC118	NC_007929	CP000233	NC_006529 ... (3)	AF488831 ... (3)	MOD	L. salivarius UCC118 is well studied for its probiotic properties and has been used as a model organism to study the maintenance of healthy digestive system.	16617113	
Lactobacillus sanfranciscensis	1	Lactobacillus sanfranciscensis TMW 1.1304	NC_015978	CP002461	NC_015979 ... (2)	CP002462 ... (2)	COM		21995419	
Lactobacillus shenzhenensis	1	Lactobacillus shenzhenensis LY-73	NZ_AVAA00000000	AVAA00000000			Default			
Lactobacillus	4	Lactobacillus sp. 7_1_47FAA	NZ_ACWR00000000	ACWR00000000			Default			
Lactobacillus suebicus	1	Lactobacillus suebicus KCTC 3549	NZ_BACO00000000	BACO00000000			Default			
Lactobacillus ultunensis	1	Lactobacillus ultunensis DSM 16047	NZ_ACGU00000000	ACGU00000000			Default			
Lactobacillus vaginalis	4	Lactobacillus vaginalis ATCC 49540	NZ_ACGV00000000	ACGV00000000			Default			
Lactobacillus versmoldensis	1	Lactobacillus versmoldensis KCTC 3814	NZ_BACR00000000	BACR00000000			Default			
Lactobacillus vini	2	Lactobacillus vini DSM 20605	NZ_AHYZ00000000	AHYZ00000000			Default			
Lactobacillus zeae	1	Lactobacillus zeae KCTC 3804	NZ_BACQ00000000	BACQ00000000			Default			
Lactococcus garvieae	14	Lactococcus garvieae ATCC 49156	NC_015930	AP009332			COM		21829716	
Lactococcus lactis	27	Lactococcus lactis subsp. lactis Il1403	NC_002662	AE005176			FGS/UPR	This strain has a reference proteome in UniProtKB database.	11337471	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Lactococcus raffinolactis	1	Lactococcus raffinolactis 4877	NZ_CALL00000000	CALL00000000			Default			
Lamprocystis purpurea	1	Lamprocystis purpurea DSM 4197	NZ_ARBC00000000	ARBC00000000			Default			
Laribacter hongkongensis	2	Laribacter hongkongensis HLHK9	NC_012559	CP001154			COM		19283063	
Lautropia mirabilis	1	Lautropia mirabilis ATCC 51599	NZ_AEQP00000000	AEQP00000000			Default			
Lawsonia intracellularis	2	Lawsonia intracellularis PHE/MN1-00	NC_008011	AM180252	NC_008012 ... (3)	AM180253 ... (3)	COM			
Leadbetterella byssophila	1	Leadbetterella byssophila DSM 17132	NC_014655	CP002305			COM		21475582	
Leeia oryzae	1	Leeia oryzae DSM 17879	NZ_AQXU00000000	AQXU00000000			Default			
Leeuwenhoekiella blandensis	1	Leeuwenhoekiella blandensis MED217	NZ_AANC00000000	AANC00000000			Default			
	0	Legionella anisa str. Linanisette					Default			
Legionella drancourtii	1	Legionella drancourtii LLAP12	NZ_ACUL00000000	ACUL00000000			Default			
Legionella longbeachae	2	Legionella longbeachae NSW150	NC_013861	FN650140	NC_014544	FN650141	COM		20174605	
Legionella pneumophila	35	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	NC_002942	AE017354			COM		15448271	
Legionella shakespearei	1	Legionella shakespearei DSM 23087	NZ_AREN00000000	AREN00000000			Default			
Legionella	1	Legionella tunisiensis	NZ_CALJ00000000	CALJ00000000			Default			
Leifsonia aquatica	1	Leifsonia aquatica ATCC 14665	NZ_AWVQ00000000	AWVQ00000000			Default			
Leifsonia rubra	1	Leifsonia rubra CMS 76R					Default			
Leifsonia sp.	1	Leifsonia sp. 109	NZ_AQYK00000000	AQYK00000000			Default			
Leifsonia xyli	2	Leifsonia xyli subsp. xyli str. CTCB07	NC_006087	AE016822			COM		15305603	
Leisingera methylohalidivorans	1	Leisingera methylohalidivorans DSM 14336	NC_023135	CP006773	NC_023136 ... (2)	CP006774 ... (2)	Default			
Lentibacillus	1	Lentibacillus jeotgali	NZ_AGAV00000000	AGAV00000000			Default			
Lentisphaera araneosa	1	Lentisphaera araneosa HTCC2155	NZ_ABCK00000000	ABCK00000000			Default			
	0	Leptolyngbya boryana					Default			
	0	Leptolyngbya foveolarum					Default			
	0	Leptolyngbya sp. PCC 6402					Default			
	0	Leptolyngbya valderiana BDU 20041					Default			
Leptonema illini	1	Leptonema illini DSM 21528	NZ_AHKT00000000	AHKT00000000			Default			
Leptospira alexanderi	1	Leptospira alexanderi serovar Manhao 3 str. L 60	NZ_AHMT00000000	AHMT00000000			Default			
Leptospira alstoni	2	Leptospira alstoni serovar Pingchang str. 80-412	NZ_AOHD00000000	AOHD00000000			Default			
Leptospira biflexa	2	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	NC_010842,NC_010845	CP000777,CP000778	NC_010846	CP000779	COM		18270594	
Leptospira borgpetersenii	22	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	NC_008508,NC_008509	CP000348,CP000349			COM		16973745	
Leptospira broomii	1	Leptospira broomii serovar Hurstbridge str. 5399	NZ_AHMO00000000	AHMO00000000			Default			
Leptospira fainei	1	Leptospira fainei serovar Hurstbridge str. BUT 6	NZ_AKWZ00000000	AKWZ00000000			Default			
Leptospira inadai	1	Leptospira inadai serovar Lyme str. 10	NZ_AHMM00000000	AHMM00000000			Default			
Leptospira interrogans	205	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	NC_005823,NC_005824	AE016823,AE016824			PRT		15028702	
Leptospira interrogans	205	Leptospira interrogans serovar Lai str. 56601	NC_004342,NC_004343	AE010300,AE010301			FGS/CLI/UPR	This strain has a reference proteome in UniProtKB database.	12712204	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:11
Leptospira kirschneri	25	Leptospira kirschneri serovar Bim str. 1051	NZ_AHML00000000	AHML00000000			Default			
Leptospira kmetyi	1	Leptospira kmetyi serovar Malaysia str. Bejo-Iso9	NZ_AHMP00000000	AHMP00000000			Default			
Leptospira licerasiae	4	Leptospira licerasiae serovar Varillal str. MMD0835	NZ_AFLO00000000	AFLO00000000			Default			
Leptospira meyeri	2	Leptospira meyeri serovar Hardjo str. Went 5	NZ_AKXE00000000	AKXE00000000			Default			
Leptospira noguchii	9	Leptospira noguchii str. 2006001870	NZ_AFLY00000000	AFLY00000000			Default			
Leptospira santarosai	24	Leptospira santarosai str. 2000030832	NZ_AFJN00000000	AFJN00000000			Default			
Leptospira	5	Leptospira sp. Fiocruz LV3954	NZ_AKWV00000000	AKWV00000000			Default			
Leptospira terpstrae	1	Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639	NZ_AOGW00000000	AOGW00000000			Default			
Leptospira vanthielii	1	Leptospira vanthielii serovar Holland str. Waz Holland = ATCC 700522	NZ_AOGY00000000	AOGY00000000			Default			
Leptospira weilii	9	Leptospira weilii str. 2006001855	NZ_AFJM00000000	AFJM00000000			Default			
Leptospira wolbachii	1	Leptospira wolbachii serovar Codice str. CDC	NZ_AOGZ00000000	AOGZ00000000			Default			
Leptospira wolffii	1	Leptospira wolffii serovar Khorat str. Khorat-H2	NZ_AKWX00000000	AKWX00000000			Default			
Leptospira yanagawae	1	Leptospira yanagawae serovar Saopaulo str. Sao Paulo = ATCC 700523	NZ_AOGX00000000	AOGX00000000			Default			
Leptospirillum ferriphilum	1	Leptospirillum ferriphilum ML-04	NC_018649	CP002919			Default		22203551	
	0	Leptospirillum ferrooxidans					Default			
Leptothrix cholodnii	1	Leptothrix cholodnii SP-6	NC_010524	CP001013			COM			
Leptothrix ochracea	1	Leptothrix ochracea L12	NZ_AJUC00000000	AJUC00000000			Default			
Leptotrichia buccalis	1	Leptotrichia buccalis C-1013-b	NC_013192	CP001685			COM		21304648	
Leptotrichia goodfellowii	3	Leptotrichia goodfellowii F0264	NZ_ADAD00000000	ADAD00000000			Default			
Leptotrichia hofstadii	2	Leptotrichia hofstadii F0254	NZ_ACVB00000000	ACVB00000000			Default			
Leptotrichia shahii	1	Leptotrichia shahii DSM 19757	NZ_ARDD00000000	ARDD00000000			Default			
Leptotrichia	3	Leptotrichia sp. oral taxon 879 str. F0557	NZ_AWVL00000000	AWVL00000000			Default			
Leptotrichia wadei	2	Leptotrichia wadei DSM 19758	NZ_ARDS00000000	ARDS00000000			Default			
Leucobacter chromiiresistens	1	Leucobacter chromiiresistens JG 31	NZ_AGCW00000000	AGCW00000000			Default			
Leucobacter salsicius	1	Leucobacter salsicius M1-8	NZ_AOCN00000000	AOCN00000000			Default			
Leucobacter sp.	1	Leucobacter sp. UCD-THU	NZ_APJM00000000	APJM00000000			Default			
Leuconostoc lactis	2	Leuconostoc argentinum KCTC 3773	NZ_AEGQ00000000	AEGQ00000000			Default			
Leuconostoc carnosum	2	Leuconostoc carnosum JB16	NC_018673	CP003851	NC_018674 ... (4)	CP003852 ... (4)	Default		23144413	
Leuconostoc citreum	4	Leuconostoc citreum KM20	NC_010471	DQ489736	NC_010466 ... (4)	DQ489737 ... (4)	COM		18281406	
Leuconostoc fallax	1	Leuconostoc fallax KCTC 3537	NZ_AEIZ00000000	AEIZ00000000			Default			
Leuconostoc gasicomitatum	1	Leuconostoc gasicomitatum LMG 18811	NC_014319	FN822744			COM		21571876	
Leuconostoc gelidum	2	Leuconostoc gelidum JB7	NC_018631	CP003839			Default		23144409	
Leuconostoc inhae	1	Leuconostoc inhae KCTC 3774	NZ_AEMJ00000000	AEMJ00000000			Default			
